variance,frag_score,split,model,eps,district_type
140169.22609624724,100.1208757830337,equal,ToyDown_analytical,1,tract_recom
150566.25012060412,107.54732151471774,equal,ToyDown_analytical,1,tract_recom
140858.66259768928,100.61333042692029,equal,ToyDown_analytical,1,tract_recom
129193.71857590455,92.28122755421896,equal,ToyDown_analytical,1,tract_recom
140858.66259769045,100.61333042692092,equal,ToyDown_analytical,1,tract_recom
118720.1060602277,84.80007575730434,equal,ToyDown_analytical,1,tract_recom
133726.56258375366,95.518973274109,equal,ToyDown_analytical,1,tract_recom
129962.40007718744,92.83028576941908,equal,ToyDown_analytical,1,tract_recom
147462.46261269785,105.33033043763987,equal,ToyDown_analytical,1,tract_recom
154689.6666321233,110.4926190229462,equal,ToyDown_analytical,1,tract_recom
119557.46656136995,85.39819040097713,equal,ToyDown_analytical,1,tract_recom
129193.71857590467,92.28122755421889,equal,ToyDown_analytical,1,tract_recom
136642.79858919914,97.6019989922854,equal,ToyDown_analytical,1,tract_recom
148719.82661582794,106.2284475827347,equal,ToyDown_analytical,1,tract_recom
145536.79410808304,103.95485293434405,equal,ToyDown_analytical,1,tract_recom
150566.25012060412,107.54732151471771,equal,ToyDown_analytical,1,tract_recom
126855.9760721244,90.6114114800918,equal,ToyDown_analytical,1,tract_recom
128419.75407463635,91.72839576759752,equal,ToyDown_analytical,1,tract_recom
154116.45613044454,110.08318295031836,equal,ToyDown_analytical,1,tract_recom
156929.67863894178,112.09262759924374,equal,ToyDown_analytical,1,tract_recom
128419.75407463635,91.72839576759752,equal,ToyDown_analytical,1,tract_recom
144884.3386065656,103.4888132904039,equal,ToyDown_analytical,1,tract_recom
146183.96660961086,104.41711900686451,equal,ToyDown_analytical,1,tract_recom
120389.54406251936,85.99253147322877,equal,ToyDown_analytical,1,tract_recom
127640.5065733766,91.17179040955322,equal,ToyDown_analytical,1,tract_recom
135195.2465864558,96.56803327603892,equal,ToyDown_analytical,1,tract_recom
151770.78412384156,108.40770294560043,equal,ToyDown_analytical,1,tract_recom
150566.25012060412,107.54732151471771,equal,ToyDown_analytical,1,tract_recom
137358.65009058773,98.11332149327716,equal,ToyDown_analytical,1,tract_recom
151171.15862221774,107.97939901586905,equal,ToyDown_analytical,1,tract_recom
117029.53605797641,83.59252575569613,equal,ToyDown_analytical,1,tract_recom
149956.05861900075,107.11147044214428,equal,ToyDown_analytical,1,tract_recom
134463.5460850975,96.04539006078564,equal,ToyDown_analytical,1,tract_recom
130725.79857847815,93.37557041319786,equal,ToyDown_analytical,1,tract_recom
139474.50659481742,99.62464756772656,equal,ToyDown_analytical,1,tract_recom
116176.32655686562,82.9830903977618,equal,ToyDown_analytical,1,tract_recom
132236.7465810948,94.45481898649534,equal,ToyDown_analytical,1,tract_recom
153537.96262877865,109.66997330627069,equal,ToyDown_analytical,1,tract_recom
151171.15862221786,107.97939901586928,equal,ToyDown_analytical,1,tract_recom
130725.79857847828,93.37557041319808,equal,ToyDown_analytical,1,tract_recom
132984.2960824169,94.98878291601216,equal,ToyDown_analytical,1,tract_recom
135921.66408782243,97.08690291987206,equal,ToyDown_analytical,1,tract_recom
148719.82661582806,106.22844758273472,equal,ToyDown_analytical,1,tract_recom
116176.32655686562,82.98309039776181,equal,ToyDown_analytical,1,tract_recom
126855.97607212495,90.6114114800913,equal,ToyDown_analytical,1,tract_recom
124470.6865684443,88.90763326317358,equal,ToyDown_analytical,1,tract_recom
137358.65009058686,98.11332149327738,equal,ToyDown_analytical,1,tract_recom
126066.16257089072,90.04725897920599,equal,ToyDown_analytical,1,tract_recom
148093.7861142562,105.78127579589844,equal,ToyDown_analytical,1,tract_recom
132984.2960824183,94.98878291601281,equal,ToyDown_analytical,1,tract_recom
126066.16257089,90.04725897920595,equal,ToyDown_analytical,1,tract_recom
131483.91407978075,93.91708148555695,equal,ToyDown_analytical,1,tract_recom
150566.25012060415,107.54732151471771,equal,ToyDown_analytical,1,tract_recom
127640.5065733766,91.17179040955273,equal,ToyDown_analytical,1,tract_recom
149956.05861900025,107.11147044214422,equal,ToyDown_analytical,1,tract_recom
122854.0785660439,87.75291326145961,equal,ToyDown_analytical,1,tract_recom
148093.7861142565,105.78127579589857,equal,ToyDown_analytical,1,tract_recom
150566.25012060412,107.54732151471774,equal,ToyDown_analytical,1,tract_recom
152954.18612712115,109.25299009080156,equal,ToyDown_analytical,1,tract_recom
159085.16264593092,113.63225903280771,equal,ToyDown_analytical,1,tract_recom
126066.16257088947,90.04725897920594,equal,ToyDown_analytical,1,tract_recom
146183.96660961036,104.41711900686458,equal,ToyDown_analytical,1,tract_recom
132984.29608241722,94.98878291601248,equal,ToyDown_analytical,1,tract_recom
119557.46656136995,85.39819040097713,equal,ToyDown_analytical,1,tract_recom
132984.29608241725,94.98878291601248,equal,ToyDown_analytical,1,tract_recom
145536.79410808353,103.95485293434432,equal,ToyDown_analytical,1,tract_recom
130725.79857847873,93.37557041319796,equal,ToyDown_analytical,1,tract_recom
154116.45613044492,110.08318295031923,equal,ToyDown_analytical,1,tract_recom
134463.54608509774,96.04539006078564,equal,ToyDown_analytical,1,tract_recom
124470.68656844455,88.9076332631736,equal,ToyDown_analytical,1,tract_recom
127640.50657337585,91.17179040955322,equal,ToyDown_analytical,1,tract_recom
158017.9866424149,112.86999045886684,equal,ToyDown_analytical,1,tract_recom
