variance,frag_score,split,model,eps,district_type
538407.05208375,384.57646577411106,equal,ToyDown_analytical,1,block_recom
717661.0864184181,512.6150617274385,equal,ToyDown_analytical,1,block_recom
619329.0760462156,442.37791146158133,equal,ToyDown_analytical,1,block_recom
537744.3633443795,384.1031166745501,equal,ToyDown_analytical,1,block_recom
679324.6718222635,485.2319084444758,equal,ToyDown_analytical,1,block_recom
637038.2583466156,455.0273273904467,equal,ToyDown_analytical,1,block_recom
679435.5011339705,485.31107223854787,equal,ToyDown_analytical,1,block_recom
662649.744439719,473.321246028366,equal,ToyDown_analytical,1,block_recom
729447.7408595937,521.0341006139961,equal,ToyDown_analytical,1,block_recom
800700.2910603875,571.9287793288512,equal,ToyDown_analytical,1,block_recom
687012.0259486295,490.7228756775901,equal,ToyDown_analytical,1,block_recom
776588.2174837403,554.7058696312441,equal,ToyDown_analytical,1,block_recom
696914.0566142125,497.79575472443736,equal,ToyDown_analytical,1,block_recom
704341.6302788471,503.1011644848961,equal,ToyDown_analytical,1,block_recom
893795.3018921296,638.4252156372414,equal,ToyDown_analytical,1,block_recom
530275.2898472142,378.7680641765807,equal,ToyDown_analytical,1,block_recom
916279.6595075104,654.4854710767875,equal,ToyDown_analytical,1,block_recom
867642.6481749972,619.7447486964264,equal,ToyDown_analytical,1,block_recom
477810.88303224556,341.29348788017126,equal,ToyDown_analytical,1,block_recom
609031.480351495,435.022485965355,equal,ToyDown_analytical,1,block_recom
687311.9132607683,490.9370809005523,equal,ToyDown_analytical,1,block_recom
728908.9530644555,520.649252188892,equal,ToyDown_analytical,1,block_recom
489149.21465108776,349.3922961793509,equal,ToyDown_analytical,1,block_recom
667823.4172403951,477.01672660027924,equal,ToyDown_analytical,1,block_recom
783798.4135055335,559.8560096468036,equal,ToyDown_analytical,1,block_recom
470230.90417877416,335.87921727055425,equal,ToyDown_analytical,1,block_recom
1011720.9555200175,722.6578253714429,equal,ToyDown_analytical,1,block_recom
863933.6674658809,617.0954767613439,equal,ToyDown_analytical,1,block_recom
702026.0559339285,501.4471828099462,equal,ToyDown_analytical,1,block_recom
793323.8878511509,566.6599198936786,equal,ToyDown_analytical,1,block_recom
626484.0599074062,447.4886142195766,equal,ToyDown_analytical,1,block_recom
821965.3213069786,587.1180866478394,equal,ToyDown_analytical,1,block_recom
633162.4602349303,452.2589001678053,equal,ToyDown_analytical,1,block_recom
811323.6785583724,579.5169132559802,equal,ToyDown_analytical,1,block_recom
478879.8206379672,342.05701474140636,equal,ToyDown_analytical,1,block_recom
610217.9280583701,435.8699486131192,equal,ToyDown_analytical,1,block_recom
895527.4910484909,639.6624936060663,equal,ToyDown_analytical,1,block_recom
846765.3281434396,604.832377245317,equal,ToyDown_analytical,1,block_recom
558393.021708879,398.8521583634844,equal,ToyDown_analytical,1,block_recom
924158.0015802858,660.1128582716291,equal,ToyDown_analytical,1,block_recom
519877.33216179593,371.340951544138,equal,ToyDown_analytical,1,block_recom
799957.5557198031,571.398254085574,equal,ToyDown_analytical,1,block_recom
1030341.4136791925,735.958152627992,equal,ToyDown_analytical,1,block_recom
1111624.52770592,794.0175197899379,equal,ToyDown_analytical,1,block_recom
448081.963591222,320.05854542229196,equal,ToyDown_analytical,1,block_recom
828455.053125935,591.7536093756646,equal,ToyDown_analytical,1,block_recom
621809.585286441,444.1497037760273,equal,ToyDown_analytical,1,block_recom
591325.345987846,422.37524713417736,equal,ToyDown_analytical,1,block_recom
973785.0676785001,695.5607626275009,equal,ToyDown_analytical,1,block_recom
708948.2076127769,506.3915768662672,equal,ToyDown_analytical,1,block_recom
961579.1452366262,686.8422465975891,equal,ToyDown_analytical,1,block_recom
831163.5312939623,593.6882366385479,equal,ToyDown_analytical,1,block_recom
1027667.4620970478,734.048187212172,equal,ToyDown_analytical,1,block_recom
