CNTYVTD,18R_Governor_D_tot,ValdezD_18R_Governor_pct,WhiteD_18R_Governor_pct,TOTPOP,HISP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER*,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP*,HVAP_pct,BVAP_pct,WVAP_pct
1131117,295,0.4949152542372882,0.5050847457627119,2259,349,1768.0,37.0,2.0,95.0,0.0,8.0,2201.0,323.0,1738.0,36.0,2.0,94.0,0.0,8.0,0.14675147660154475,0.01635620172648796,0.789641072239891
1131118,67,0.8805970149253731,0.11940298507462685,1303,455,166.0,654.0,1.0,12.0,1.0,14.0,983.0,248.0,158.0,560.0,1.0,10.0,1.0,5.0,0.2522889114954221,0.5696846388606307,0.1607324516785351
1131119,99,0.7676767676767676,0.2323232323232323,4028,2933,148.0,916.0,19.0,8.0,0.0,4.0,3334.0,2357.0,134.0,820.0,17.0,6.0,0.0,0.0,0.7069586082783443,0.2459508098380324,0.04019196160767846
1131120,93,0.5806451612903226,0.41935483870967744,2204,1398,730.0,38.0,3.0,29.0,0.0,6.0,1932.0,1186.0,674.0,37.0,2.0,28.0,0.0,5.0,0.6138716356107661,0.019151138716356108,0.34886128364389235
1131121,56,0.625,0.375,5734,3469,1029.0,703.0,9.0,521.0,0.0,3.0,4415.0,2490.0,956.0,533.0,9.0,426.0,0.0,1.0,0.5639864099660249,0.12072480181200453,0.21653454133635333
1131122,8,0.875,0.125,545,288,95.0,81.0,6.0,64.0,1.0,10.0,467.0,238.0,92.0,70.0,6.0,54.0,1.0,6.0,0.5096359743040685,0.14989293361884368,0.19700214132762311
1131124,1,1.0,0.0,52,40,7.0,3.0,0.0,2.0,0.0,0.0,43.0,31.0,7.0,3.0,0.0,2.0,0.0,0.0,0.7209302325581395,0.06976744186046513,0.16279069767441862
1131125,38,0.631578947368421,0.3684210526315789,5348,2826,1152.0,1154.0,7.0,184.0,2.0,23.0,4066.0,1929.0,1036.0,923.0,7.0,153.0,2.0,16.0,0.4744220363994097,0.22700442695523854,0.2547958681751107
1131126,15,0.7333333333333333,0.26666666666666666,4779,3531,470.0,558.0,7.0,143.0,0.0,70.0,3517.0,2561.0,398.0,410.0,7.0,101.0,0.0,40.0,0.7281774239408587,0.11657662780779073,0.11316462894512368
1131127,17,0.8235294117647058,0.17647058823529413,1989,1388,339.0,207.0,8.0,42.0,0.0,5.0,1435.0,945.0,287.0,155.0,5.0,40.0,0.0,3.0,0.6585365853658537,0.10801393728222997,0.2
1131128,22,0.18181818181818185,0.8181818181818182,880,101,741.0,23.0,3.0,4.0,0.0,8.0,760.0,76.0,654.0,18.0,2.0,2.0,0.0,8.0,0.1,0.02368421052631579,0.8605263157894737
1131129,6,0.6666666666666666,0.3333333333333333,924,651,120.0,126.0,3.0,14.0,0.0,10.0,704.0,509.0,102.0,78.0,2.0,11.0,0.0,2.0,0.7230113636363636,0.11079545454545454,0.14488636363636365
1131130,35,0.7714285714285715,0.22857142857142854,4297,2781,626.0,573.0,26.0,271.0,1.0,19.0,3595.0,2255.0,602.0,482.0,22.0,219.0,1.0,14.0,0.627260083449235,0.13407510431154382,0.1674547983310153
1131131,104,0.6826923076923077,0.3173076923076923,3530,2052,1045.0,338.0,13.0,68.0,0.0,14.0,2883.0,1576.0,942.0,301.0,8.0,51.0,0.0,5.0,0.5466527922303156,0.10440513354144987,0.3267429760665973
1131132,3,1.0,0.0,110,22,44.0,41.0,0.0,2.0,0.0,1.0,110.0,22.0,44.0,41.0,0.0,2.0,0.0,1.0,0.2,0.3727272727272728,0.4
1131133,33,0.7878787878787878,0.21212121212121213,485,180,278.0,13.0,0.0,13.0,0.0,1.0,420.0,159.0,244.0,8.0,0.0,8.0,0.0,1.0,0.37857142857142856,0.01904761904761905,0.580952380952381
1131134,14,0.7142857142857143,0.2857142857142857,644,442,66.0,131.0,3.0,0.0,0.0,2.0,489.0,320.0,59.0,106.0,2.0,0.0,0.0,2.0,0.65439672801636,0.2167689161554192,0.12065439672801635
1131135,48,0.7916666666666666,0.20833333333333331,3912,2686,335.0,842.0,5.0,20.0,0.0,24.0,2976.0,1972.0,304.0,658.0,4.0,16.0,0.0,22.0,0.6626344086021505,0.2211021505376344,0.1021505376344086
1131136,0,0.0,0.0,19,3,16.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.8823529411764706
1131137,0,0.0,0.0,42,32,10.0,0.0,0.0,0.0,0.0,0.0,33.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.696969696969697,0.0,0.30303030303030304
1131138,0,0.0,0.0,148,59,37.0,28.0,4.0,16.0,0.0,4.0,141.0,57.0,34.0,28.0,4.0,16.0,0.0,2.0,0.40425531914893614,0.19858156028368795,0.24113475177304966
1131300,54,0.6851851851851852,0.3148148148148148,5818,2929,2235.0,549.0,12.0,66.0,2.0,25.0,4536.0,2133.0,1973.0,360.0,9.0,56.0,2.0,3.0,0.4702380952380952,0.07936507936507936,0.4349647266313933
1131301,58,0.6896551724137931,0.3103448275862069,4969,2359,1971.0,528.0,5.0,89.0,0.0,17.0,3992.0,1723.0,1773.0,411.0,4.0,74.0,0.0,7.0,0.4316132264529058,0.1029559118236473,0.4441382765531062
1131302,40,0.625,0.375,4143,1729,1193.0,1092.0,10.0,98.0,0.0,21.0,3308.0,1269.0,1044.0,894.0,9.0,81.0,0.0,11.0,0.3836154776299879,0.2702539298669891,0.31559854897218864
1131303,1,0.0,1.0,503,274,78.0,150.0,0.0,0.0,0.0,1.0,331.0,174.0,68.0,89.0,0.0,0.0,0.0,0.0,0.525679758308157,0.2688821752265861,0.2054380664652568
