CNTYVTD,18R_Governor_D_tot,ValdezD_18R_Governor_pct,WhiteD_18R_Governor_pct,TOTPOP,HISP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER*,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP*,HVAP_pct,BVAP_pct,WVAP_pct
1131037,46,0.6304347826086957,0.3695652173913043,7927,6357,931.0,484.0,11.0,72.0,4.0,68.0,5700.0,4446.0,775.0,353.0,10.0,63.0,2.0,51.0,0.78,0.061929824561403515,0.13596491228070176
1131038,28,0.8214285714285714,0.17857142857142858,8364,4411,1236.0,2523.0,12.0,140.0,1.0,41.0,6345.0,3154.0,1102.0,1935.0,11.0,115.0,1.0,27.0,0.4970843183609141,0.3049645390070922,0.17368006304176514
1131039,6,0.8333333333333334,0.16666666666666666,910,441,101.0,332.0,1.0,8.0,0.0,27.0,596.0,263.0,70.0,242.0,1.0,8.0,0.0,12.0,0.4412751677852349,0.4060402684563759,0.1174496644295302
1131040,128,0.6875,0.3125,5271,2392,1159.0,1628.0,10.0,52.0,2.0,28.0,4099.0,1674.0,1055.0,1294.0,8.0,49.0,0.0,19.0,0.4083922908026348,0.31568675286655284,0.257379848743596
1131041,6,1.0,0.0,2622,622,328.0,1630.0,2.0,28.0,0.0,12.0,2157.0,464.0,316.0,1338.0,2.0,28.0,0.0,9.0,0.21511358368103847,0.6203059805285118,0.14649976819656932
1131042,16,0.875,0.125,2922,1730,253.0,869.0,19.0,41.0,0.0,10.0,1980.0,1131.0,219.0,575.0,13.0,36.0,0.0,6.0,0.5712121212121212,0.2904040404040404,0.1106060606060606
1131043,144,0.5138888888888888,0.4861111111111111,4049,1366,2029.0,553.0,8.0,67.0,0.0,26.0,3257.0,937.0,1803.0,438.0,5.0,66.0,0.0,8.0,0.2876880564937059,0.13447958243782626,0.5535769112680381
1131044,102,0.5490196078431373,0.4509803921568628,3698,867,2153.0,591.0,1.0,58.0,0.0,28.0,2968.0,615.0,1912.0,379.0,1.0,49.0,0.0,12.0,0.20721024258760107,0.1276954177897574,0.6442048517520216
1131045,46,0.7391304347826086,0.2608695652173913,7672,5285,1258.0,986.0,15.0,76.0,1.0,51.0,5724.0,3807.0,1092.0,702.0,13.0,65.0,1.0,44.0,0.6650943396226415,0.12264150943396225,0.19077568134171907
1131046,17,0.7058823529411765,0.29411764705882354,574,273,211.0,76.0,2.0,11.0,0.0,1.0,501.0,229.0,205.0,57.0,1.0,9.0,0.0,0.0,0.4570858283433134,0.11377245508982035,0.4091816367265469
1131047,58,0.6551724137931034,0.3448275862068966,2949,1758,991.0,139.0,15.0,17.0,0.0,29.0,2394.0,1339.0,897.0,110.0,9.0,17.0,0.0,22.0,0.5593149540517962,0.04594820384294068,0.37468671679198
1131048,211,0.5781990521327014,0.4218009478672986,2976,668,2193.0,53.0,2.0,51.0,1.0,8.0,2687.0,531.0,2059.0,50.0,2.0,42.0,1.0,2.0,0.19761816151842204,0.018608113137327874,0.7662820989951619
1131049,103,0.5728155339805825,0.4271844660194175,2305,613,1257.0,318.0,4.0,72.0,0.0,41.0,1838.0,401.0,1103.0,252.0,4.0,55.0,0.0,23.0,0.21817192600652885,0.13710554951033732,0.6001088139281828
1131050,18,0.5,0.5,186,11,175.0,0.0,0.0,0.0,0.0,0.0,170.0,6.0,164.0,0.0,0.0,0.0,0.0,0.0,0.035294117647058816,0.0,0.9647058823529412
1131051,35,0.7714285714285715,0.22857142857142854,333,65,257.0,10.0,0.0,0.0,0.0,1.0,319.0,62.0,246.0,10.0,0.0,0.0,0.0,1.0,0.19435736677115986,0.03134796238244514,0.7711598746081505
1131052,238,0.6050420168067226,0.3949579831932773,4015,1188,2276.0,420.0,9.0,70.0,2.0,50.0,3491.0,922.0,2133.0,330.0,8.0,60.0,2.0,36.0,0.2641077055285019,0.09452878831280437,0.6109997135491263
1131054,59,0.6949152542372882,0.3050847457627119,4228,2836,1110.0,208.0,22.0,22.0,5.0,25.0,3359.0,2127.0,1021.0,160.0,18.0,18.0,3.0,12.0,0.6332241738612683,0.04763322417386127,0.30395951175945224
1131055,20,0.75,0.25,1898,1218,471.0,133.0,10.0,55.0,2.0,9.0,1431.0,870.0,421.0,81.0,9.0,46.0,1.0,3.0,0.6079664570230608,0.05660377358490566,0.2941998602375961
1131056,45,0.6888888888888889,0.3111111111111111,1947,1067,751.0,101.0,2.0,13.0,0.0,13.0,1587.0,785.0,705.0,76.0,1.0,11.0,0.0,9.0,0.4946439823566478,0.04788909892879647,0.4442344045368621
1131057,73,0.7123287671232876,0.2876712328767123,4551,2720,1538.0,189.0,26.0,56.0,2.0,20.0,3651.0,2015.0,1408.0,144.0,26.0,47.0,2.0,9.0,0.5519035880580663,0.03944124897288414,0.3856477677348672
1131058,111,0.7297297297297297,0.2702702702702703,3800,2031,1536.0,179.0,3.0,31.0,1.0,19.0,3201.0,1597.0,1420.0,149.0,3.0,23.0,1.0,8.0,0.4989065916900968,0.04654795376444861,0.443611371446423
1131059,164,0.5975609756097561,0.4024390243902439,2727,731,1744.0,204.0,9.0,23.0,1.0,15.0,2432.0,591.0,1643.0,165.0,9.0,15.0,1.0,8.0,0.24300986842105265,0.0678453947368421,0.6755756578947368
1131060,433,0.6397228637413395,0.3602771362586605,5618,1069,4278.0,114.0,11.0,103.0,0.0,43.0,5033.0,888.0,3920.0,101.0,10.0,84.0,0.0,30.0,0.17643552553149214,0.020067554142658456,0.7788595271210014
1131061,142,0.647887323943662,0.35211267605633795,1421,354,976.0,58.0,2.0,18.0,0.0,13.0,1289.0,304.0,912.0,51.0,2.0,14.0,0.0,6.0,0.2358417377812257,0.0395655546935609,0.7075252133436772
1131062,2,0.5,0.5,69,44,22.0,1.0,2.0,0.0,0.0,0.0,59.0,36.0,22.0,1.0,0.0,0.0,0.0,0.0,0.6101694915254238,0.01694915254237288,0.3728813559322034
1131063,52,0.8076923076923077,0.19230769230769232,3909,2386,1121.0,347.0,6.0,41.0,2.0,6.0,3121.0,1819.0,1021.0,241.0,6.0,29.0,1.0,4.0,0.5828260173021468,0.07721884011534765,0.3271387375841077
1131064,7,0.5714285714285714,0.42857142857142855,270,155,59.0,56.0,0.0,0.0,0.0,0.0,213.0,118.0,51.0,44.0,0.0,0.0,0.0,0.0,0.5539906103286385,0.20657276995305165,0.23943661971830985
1131065A,82,0.6829268292682927,0.3170731707317073,6642,3299,952.0,2128.0,9.0,221.0,6.0,27.0,5141.0,2385.0,843.0,1720.0,9.0,177.0,2.0,5.0,0.4639175257731959,0.3345652596771056,0.1639758801789535
1131067,1,1.0,0.0,25,5,20.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333331,0.0,0.7916666666666666
1131068,3,0.6666666666666666,0.3333333333333333,118,68,49.0,0.0,1.0,0.0,0.0,0.0,111.0,64.0,46.0,0.0,1.0,0.0,0.0,0.0,0.5765765765765766,0.0,0.4144144144144144
1131069,3,0.6666666666666666,0.3333333333333333,54,15,20.0,16.0,0.0,3.0,0.0,0.0,53.0,15.0,20.0,15.0,0.0,3.0,0.0,0.0,0.2830188679245283,0.2830188679245283,0.37735849056603776
1131070,121,0.628099173553719,0.371900826446281,4606,3178,957.0,371.0,28.0,53.0,2.0,17.0,3792.0,2491.0,890.0,323.0,25.0,46.0,2.0,15.0,0.6569092827004219,0.08517932489451477,0.23470464135021096
1131071A,339,0.5486725663716814,0.4513274336283186,4192,1661,2216.0,205.0,10.0,63.0,0.0,37.0,3660.0,1392.0,1978.0,187.0,7.0,62.0,0.0,34.0,0.38032786885245895,0.05109289617486338,0.5404371584699453
