state,county,HISP,male,female,VAP,HVAP,NH_WHITEPOP,NH_BLACKPOP,NH_AMINPOP,NH_ASIANPOP,NH_HAWAIIANPOP,NH_OTHERPOP,NH_WVAP,NH_BVAP,NH_AMINVAP,NH_ASIANVAP,NH_HAWAIIANVAP,NH_OTHERVAP,TOTPOP
48,001,9287,35521.0,22937.0,46983.0,6713.0,35792.0,12222.0,192.0,283.0,16.0,666.0,29157.0,10423.0,156.0,211.0,11.0,312.0,58458
48,003,7195,7368.0,7418.0,10474.0,4542.0,7083.0,199.0,95.0,85.0,1.0,128.0,5593.0,133.0,72.0,67.0,1.0,66.0,14786
48,005,17145,42515.0,44256.0,63565.0,10264.0,54889.0,12840.0,255.0,744.0,9.0,889.0,42919.0,9193.0,203.0,554.0,8.0,424.0,86771
48,007,5690,11485.0,11673.0,18635.0,3747.0,16350.0,258.0,118.0,443.0,5.0,294.0,14030.0,200.0,100.0,350.0,4.0,204.0,23158
48,009,675,4563.0,4491.0,6869.0,423.0,8182.0,34.0,47.0,18.0,3.0,95.0,6314.0,16.0,37.0,17.0,2.0,60.0,9054
48,011,124,928.0,973.0,1478.0,72.0,1725.0,11.0,13.0,0.0,0.0,28.0,1371.0,5.0,10.0,0.0,0.0,20.0,1901
48,013,27785,22130.0,22781.0,32049.0,18510.0,16295.0,256.0,143.0,130.0,14.0,288.0,12930.0,170.0,120.0,105.0,8.0,206.0,44911
48,015,6641,14073.0,14344.0,21288.0,4116.0,18657.0,2622.0,79.0,110.0,1.0,307.0,14967.0,1891.0,57.0,85.0,1.0,171.0,28417
48,017,4283,3621.0,3544.0,4949.0,2602.0,2745.0,67.0,16.0,23.0,0.0,31.0,2241.0,58.0,11.0,16.0,0.0,21.0,7165
48,019,3415,10172.0,10313.0,16462.0,2360.0,16576.0,90.0,121.0,55.0,0.0,228.0,13733.0,52.0,102.0,48.0,0.0,167.0,20485
48,021,24190,37997.0,36174.0,54719.0,15055.0,42446.0,5535.0,315.0,449.0,54.0,1182.0,34155.0,4226.0,269.0,351.0,42.0,621.0,74171
48,023,455,1795.0,1931.0,2958.0,282.0,3147.0,71.0,10.0,4.0,3.0,36.0,2583.0,57.0,7.0,4.0,3.0,22.0,3726
48,025,17906,19063.0,12798.0,24872.0,12708.0,10967.0,2525.0,70.0,162.0,10.0,221.0,9412.0,2416.0,60.0,134.0,9.0,133.0,31861
48,027,67010,153464.0,156771.0,222118.0,41675.0,157289.0,63380.0,1484.0,8350.0,2245.0,10477.0,122854.0,43155.0,1140.0,6795.0,1542.0,4957.0,310235
48,029,1006958,840840.0,873933.0,1249487.0,687071.0,519123.0,118460.0,3809.0,39561.0,1806.0,25056.0,424282.0,87831.0,3045.0,31319.0,1405.0,14534.0,1714773
48,031,1909,5300.0,5197.0,8203.0,1255.0,8336.0,62.0,47.0,49.0,4.0,90.0,6759.0,44.0,40.0,33.0,4.0,68.0,10497
48,033,95,335.0,306.0,503.0,61.0,539.0,0.0,2.0,1.0,0.0,4.0,435.0,0.0,2.0,1.0,0.0,4.0,641
48,035,2926,9053.0,9159.0,14041.0,1738.0,14701.0,277.0,74.0,38.0,2.0,194.0,11903.0,196.0,63.0,31.0,2.0,108.0,18212
48,037,6062,46758.0,45807.0,70113.0,4233.0,61343.0,22230.0,572.0,721.0,45.0,1592.0,48214.0,15918.0,454.0,530.0,35.0,729.0,92565
48,039,86643,159000.0,154166.0,226181.0,55099.0,166674.0,36880.0,1013.0,17013.0,58.0,4885.0,129150.0,26765.0,768.0,12001.0,47.0,2351.0,313166
48,041,45405,98630.0,96221.0,155020.0,31115.0,115252.0,20827.0,484.0,9982.0,82.0,2819.0,98529.0,14591.0,404.0,8493.0,65.0,1823.0,194851
48,043,3918,4636.0,4596.0,7355.0,2842.0,5011.0,79.0,38.0,58.0,5.0,123.0,4289.0,68.0,34.0,40.0,5.0,77.0,9232
48,045,411,815.0,822.0,1275.0,266.0,1163.0,40.0,2.0,0.0,0.0,21.0,968.0,31.0,2.0,0.0,0.0,8.0,1637
