county,HISP,race,VAP,count
001,0,1,False,3054
001,0,1,True,30442
001,0,2,False,1241
001,0,2,True,9091
001,0,3,False,29
001,0,3,True,160
001,0,4,False,60
001,0,4,True,195
001,0,5,False,5
001,0,5,True,10
001,0,6,False,209
001,0,6,True,296
001,1,1,False,989
001,1,1,True,4147
001,1,2,False,123
001,1,2,True,1855
001,1,3,False,26
001,1,3,True,44
001,1,4,False,6
001,1,4,True,30
001,1,5,True,6
001,1,6,False,1276
001,1,6,True,5164
003,0,1,False,722
003,0,1,True,6410
003,0,2,False,42
003,0,2,True,153
003,0,3,False,16
003,0,3,True,74
003,0,4,False,13
003,0,4,True,71
003,0,5,True,1
003,0,6,False,33
003,0,6,True,27
003,1,1,False,812
003,1,1,True,3805
003,1,2,False,10
003,1,2,True,17
003,1,3,False,10
003,1,3,True,42
003,1,4,False,1
003,1,4,True,6
003,1,6,False,544
003,1,6,True,1977
005,0,1,False,5716
005,0,1,True,44302
005,0,2,False,2049
005,0,2,True,9510
005,0,3,False,46
005,0,3,True,187
005,0,4,False,157
005,0,4,True,575
005,0,5,False,1
005,0,5,True,8
005,0,6,False,260
005,0,6,True,184
005,1,1,False,3267
005,1,1,True,9252
005,1,2,False,443
005,1,2,True,1033
005,1,3,False,64
005,1,3,True,114
005,1,4,False,17
005,1,4,True,36
005,1,5,True,4
005,1,6,False,2800
005,1,6,True,6746
007,0,1,False,1101
007,0,1,True,13866
007,0,2,False,45
007,0,2,True,198
007,0,3,False,8
007,0,3,True,95
007,0,4,False,66
007,0,4,True,326
007,0,5,False,1
007,0,5,True,3
007,0,6,False,42
007,0,6,True,90
007,1,1,False,932
007,1,1,True,4332
007,1,2,False,22
007,1,2,True,38
007,1,3,False,7
007,1,3,True,61
007,1,4,False,14
007,1,4,True,49
007,1,5,False,2
007,1,5,True,2
007,1,6,False,476
007,1,6,True,1382
009,0,1,False,740
009,0,1,True,7350
009,0,2,False,18
009,0,2,True,16
009,0,3,False,7
009,0,3,True,38
009,0,4,False,1
009,0,4,True,17
009,0,5,False,1
009,0,5,True,2
