race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
HVAP,0.771 (0.7067-0.8242),0.229 (0.1758-0.2933),0.0074 (0.0061-0.0088)
OVAP,0.6463 (0.6392-0.6532),0.3537 (0.3468-0.3608),0.0452 (0.0445-0.046)
