race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
BVAP,0.7779 (0.7473-0.8086),0.2221 (0.1914-0.2527),0.0477 (0.0445-0.051)
OVAP,0.6 (0.5844-0.6147),0.4 (0.3853-0.4156),0.0285 (0.0276-0.0294)
