race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
WVAP,0.554 (0.536-0.5709),0.446 (0.4291-0.464),0.051 (0.0491-0.0528)
OVAP,0.8087 (0.788-0.8301),0.1913 (0.1699-0.212),0.0212 (0.0202-0.0224)
