race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
8_HVAP_noise,0.768 (0.7006-0.8254),0.232 (0.1746-0.2994),0.0076 (0.0063-0.0092)
OVAP,0.6461 (0.6385-0.6535),0.3539 (0.3465-0.3615),0.0451 (0.0443-0.0459)
