race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
1_WVAP_noise,0.5524 (0.5347-0.5695),0.4476 (0.4305-0.4653),0.0508 (0.049-0.0526)
OVAP,0.8095 (0.7879-0.8302),0.1905 (0.1698-0.2121),0.0214 (0.0203-0.0225)
