race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
1_HVAP_noise,0.7684 (0.7022-0.8297),0.2316 (0.1703-0.2978),0.0076 (0.0063-0.0091)
OVAP,0.6463 (0.6383-0.6536),0.3537 (0.3464-0.3617),0.0452 (0.0444-0.0459)
