race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
0_BVAP_noise,0.7761 (0.7482-0.8034),0.2239 (0.1966-0.2518),0.048 (0.0449-0.051)
OVAP,0.6003 (0.5865-0.6141),0.3997 (0.3859-0.4135),0.0284 (0.0276-0.0293)
