race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
7_BVAP_noise,0.7759 (0.7467-0.8033),0.2241 (0.1967-0.2533),0.0479 (0.0446-0.051)
OVAP,0.6006 (0.5864-0.6154),0.3994 (0.3846-0.4136),0.0285 (0.0276-0.0294)
