race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
14_WVAP_noise,0.5532 (0.5354-0.5702),0.4468 (0.4298-0.4646),0.0507 (0.0489-0.0525)
OVAP,0.8077 (0.7862-0.8282),0.1923 (0.1718-0.2138),0.0214 (0.0203-0.0226)
