race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
15_WVAP_noise,0.5532 (0.5353-0.5709),0.4468 (0.4291-0.4647),0.0508 (0.049-0.0527)
OVAP,0.8088 (0.7858-0.8313),0.1912 (0.1687-0.2142),0.0213 (0.0202-0.0225)
