race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
15_HVAP_noise,0.7605 (0.6954-0.8208),0.2395 (0.1792-0.3046),0.0078 (0.0064-0.0092)
OVAP,0.6468 (0.6391-0.654),0.3532 (0.346-0.3609),0.0451 (0.0442-0.0458)
