race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
8_BVAP_noise,0.7764 (0.7478-0.8041),0.2236 (0.1959-0.2522),0.0478 (0.0447-0.0509)
OVAP,0.6004 (0.5857-0.6142),0.3996 (0.3858-0.4143),0.0285 (0.0276-0.0294)
