race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
4_BVAP_noise,0.7783 (0.7512-0.8089),0.2217 (0.1911-0.2488),0.0472 (0.0442-0.0501)
OVAP,0.6007 (0.5857-0.6141),0.3993 (0.3859-0.4143),0.0287 (0.0278-0.0295)
