race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
5_BVAP_noise,0.7762 (0.7471-0.8052),0.2238 (0.1948-0.2529),0.0476 (0.0444-0.0507)
OVAP,0.6009 (0.586-0.6153),0.3991 (0.3847-0.414),0.0285 (0.0277-0.0294)
