race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
10_WVAP_noise,0.5517 (0.5339-0.569),0.4483 (0.431-0.4661),0.0509 (0.049-0.0528)
OVAP,0.8112 (0.789-0.8318),0.1888 (0.1682-0.211),0.0213 (0.0202-0.0225)
