race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
12_BVAP_noise,0.7775 (0.7485-0.8063),0.2225 (0.1937-0.2515),0.0477 (0.0447-0.0508)
OVAP,0.6002 (0.5862-0.6148),0.3998 (0.3852-0.4138),0.0285 (0.0276-0.0294)
