race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
8_WVAP_noise,0.5541 (0.5371-0.571),0.4459 (0.429-0.4629),0.051 (0.0491-0.0528)
OVAP,0.808 (0.7869-0.8282),0.192 (0.1718-0.2131),0.0213 (0.0201-0.0224)
