race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
11_BVAP_noise,0.7755 (0.7443-0.8045),0.2245 (0.1955-0.2557),0.0483 (0.0451-0.0514)
OVAP,0.6002 (0.5847-0.616),0.3998 (0.384-0.4153),0.0284 (0.0275-0.0293)
