race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
6_HVAP_noise,0.7665 (0.7007-0.8249),0.2335 (0.1751-0.2993),0.0078 (0.0065-0.0093)
OVAP,0.6461 (0.6384-0.6538),0.3539 (0.3462-0.3616),0.045 (0.0442-0.0458)
