race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
9_HVAP_noise,0.7694 (0.7019-0.8275),0.2306 (0.1725-0.2981),0.0076 (0.0062-0.0091)
OVAP,0.6462 (0.6386-0.6535),0.3538 (0.3465-0.3614),0.0452 (0.0443-0.0459)
