race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
9_BVAP_noise,0.7776 (0.7468-0.8099),0.2224 (0.1901-0.2532),0.0471 (0.044-0.0504)
OVAP,0.6012 (0.5857-0.6158),0.3988 (0.3842-0.4143),0.0287 (0.0277-0.0296)
