race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
6_WVAP_noise,0.5522 (0.5344-0.57),0.4478 (0.43-0.4656),0.0505 (0.0486-0.0524)
OVAP,0.8079 (0.7853-0.8287),0.1921 (0.1713-0.2147),0.0215 (0.0204-0.0227)
