race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
11_HVAP_noise,0.765 (0.6931-0.8298),0.235 (0.1702-0.3069),0.0073 (0.006-0.0087)
OVAP,0.6468 (0.6392-0.6543),0.3532 (0.3457-0.3608),0.0453 (0.0445-0.0461)
