race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
13_BVAP_noise,0.775 (0.7448-0.8029),0.225 (0.1971-0.2552),0.0482 (0.0451-0.0512)
OVAP,0.6005 (0.5859-0.6153),0.3995 (0.3847-0.4141),0.0284 (0.0275-0.0293)
