race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
0_WVAP_noise,0.5528 (0.5345-0.5709),0.4472 (0.4291-0.4655),0.0505 (0.0485-0.0523)
OVAP,0.8065 (0.7841-0.8274),0.1935 (0.1726-0.2159),0.0216 (0.0204-0.0227)
