race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
0_HVAP_noise,0.7673 (0.7038-0.8223),0.2327 (0.1777-0.2962),0.0077 (0.0063-0.0091)
OVAP,0.6462 (0.6389-0.6535),0.3538 (0.3465-0.3611),0.0451 (0.0443-0.0459)
