race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
14_BVAP_noise,0.777 (0.7483-0.8056),0.223 (0.1944-0.2517),0.0477 (0.0443-0.0508)
OVAP,0.6004 (0.5862-0.6145),0.3996 (0.3855-0.4138),0.0285 (0.0276-0.0295)
