race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
4_WVAP_noise,0.5529 (0.536-0.5697),0.4471 (0.4303-0.464),0.0509 (0.049-0.0526)
OVAP,0.809 (0.7877-0.8295),0.191 (0.1705-0.2123),0.0213 (0.0203-0.0225)
