race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
13_WVAP_noise,0.5523 (0.5346-0.5698),0.4477 (0.4302-0.4654),0.0507 (0.0489-0.0525)
OVAP,0.8089 (0.7868-0.8299),0.1911 (0.1701-0.2132),0.0214 (0.0203-0.0225)
