race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
4_HVAP_noise,0.7659 (0.6992-0.8272),0.2341 (0.1728-0.3008),0.0077 (0.0062-0.0092)
OVAP,0.6464 (0.6388-0.6539),0.3536 (0.3461-0.3612),0.0451 (0.0443-0.0459)
