race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
12_WVAP_noise,0.5527 (0.5351-0.5698),0.4473 (0.4302-0.4649),0.0509 (0.0491-0.0528)
OVAP,0.8098 (0.7883-0.8302),0.1902 (0.1698-0.2117),0.0213 (0.0201-0.0225)
