race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
10_HVAP_noise,0.7679 (0.6977-0.8254),0.2321 (0.1746-0.3023),0.0076 (0.0063-0.0091)
OVAP,0.6462 (0.6388-0.6536),0.3538 (0.3464-0.3612),0.0451 (0.0443-0.0459)
