race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
14_HVAP_noise,0.7585 (0.6818-0.8241),0.2415 (0.1759-0.3182),0.0074 (0.006-0.0091)
OVAP,0.6473 (0.6393-0.655),0.3527 (0.345-0.3607),0.0453 (0.0444-0.0461)
