race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
12_HVAP_noise,0.769 (0.7027-0.8272),0.231 (0.1728-0.2973),0.0077 (0.0062-0.0092)
OVAP,0.6461 (0.6384-0.6534),0.3539 (0.3466-0.3616),0.0451 (0.0443-0.0459)
