race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
15_BVAP_noise,0.7759 (0.7482-0.8057),0.2241 (0.1943-0.2518),0.0475 (0.0443-0.0508)
OVAP,0.6013 (0.5859-0.6159),0.3987 (0.3841-0.4141),0.0286 (0.0277-0.0295)
