race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
13_HVAP_noise,0.7699 (0.6957-0.8333),0.2301 (0.1667-0.3043),0.0075 (0.0061-0.0091)
OVAP,0.6462 (0.6383-0.6539),0.3538 (0.3461-0.3617),0.0452 (0.0444-0.046)
