race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
5_WVAP_noise,0.5516 (0.5329-0.5694),0.4484 (0.4306-0.4671),0.0506 (0.0487-0.0525)
OVAP,0.809 (0.7863-0.8304),0.191 (0.1696-0.2137),0.0215 (0.0204-0.0227)
