race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
3_WVAP_noise,0.5536 (0.5358-0.5705),0.4464 (0.4295-0.4642),0.0512 (0.0494-0.053)
OVAP,0.8108 (0.7884-0.8322),0.1892 (0.1678-0.2116),0.0211 (0.02-0.0222)
