race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
3_BVAP_noise,0.7787 (0.751-0.8082),0.2213 (0.1918-0.249),0.0473 (0.0443-0.0506)
OVAP,0.6002 (0.5859-0.6141),0.3998 (0.3859-0.4141),0.0286 (0.0277-0.0295)
