race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
7_HVAP_noise,0.7596 (0.6886-0.8222),0.2404 (0.1778-0.3114),0.0076 (0.0063-0.0093)
OVAP,0.6469 (0.6389-0.6543),0.3531 (0.3457-0.3611),0.0451 (0.0443-0.0459)
