race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
2_HVAP_noise,0.7678 (0.7001-0.827),0.2322 (0.173-0.2999),0.0074 (0.006-0.0089)
OVAP,0.6466 (0.6391-0.654),0.3534 (0.346-0.3609),0.0453 (0.0444-0.046)
