race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
10_BVAP_noise,0.779 (0.7497-0.808),0.221 (0.192-0.2503),0.048 (0.0449-0.0512)
OVAP,0.599 (0.5847-0.6134),0.401 (0.3866-0.4153),0.0284 (0.0275-0.0293)
