race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
7_WVAP_noise,0.5543 (0.5377-0.571),0.4457 (0.429-0.4623),0.0508 (0.0489-0.0526)
OVAP,0.8068 (0.7847-0.8275),0.1932 (0.1725-0.2153),0.0214 (0.0202-0.0225)
