race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
6_BVAP_noise,0.774 (0.7446-0.8032),0.226 (0.1968-0.2554),0.0482 (0.045-0.0513)
OVAP,0.601 (0.5853-0.6157),0.399 (0.3843-0.4147),0.0284 (0.0275-0.0293)
