race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
2_BVAP_noise,0.7799 (0.7512-0.8084),0.2201 (0.1916-0.2488),0.0475 (0.0445-0.0505)
OVAP,0.5995 (0.5848-0.6139),0.4005 (0.3861-0.4152),0.0286 (0.0277-0.0294)
