race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
5_HVAP_noise,0.7654 (0.6976-0.8244),0.2346 (0.1756-0.3024),0.0075 (0.0062-0.009)
OVAP,0.6466 (0.6395-0.654),0.3534 (0.346-0.3605),0.0452 (0.0444-0.046)
