race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
9_WVAP_noise,0.5526 (0.5346-0.5707),0.4474 (0.4293-0.4654),0.0508 (0.0489-0.0526)
OVAP,0.8094 (0.7865-0.8315),0.1906 (0.1685-0.2135),0.0214 (0.0202-0.0225)
