race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
11_WVAP_noise,0.5559 (0.5386-0.5724),0.4441 (0.4276-0.4614),0.0508 (0.0488-0.0525)
OVAP,0.8042 (0.7832-0.8249),0.1958 (0.1751-0.2168),0.0214 (0.0203-0.0226)
