race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
1_BVAP_noise,0.7774 (0.7477-0.8051),0.2226 (0.1949-0.2523),0.0473 (0.0441-0.0504)
OVAP,0.6009 (0.5867-0.615),0.3991 (0.385-0.4133),0.0286 (0.0277-0.0295)
