race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
2_WVAP_noise,0.5526 (0.5347-0.5703),0.4474 (0.4297-0.4653),0.0507 (0.0487-0.0525)
OVAP,0.8083 (0.7862-0.8298),0.1917 (0.1702-0.2138),0.0214 (0.0203-0.0226)
