race,Valdez_18R_Gov,White_18R_Gov,GOV18ROTurnout
3_HVAP_noise,0.7633 (0.6921-0.8231),0.2367 (0.1769-0.3079),0.0077 (0.0064-0.0092)
OVAP,0.6465 (0.6387-0.6542),0.3535 (0.3458-0.3613),0.0451 (0.0443-0.0459)
