GEOID10,precinct_assignment
480270234031083,270111
480270234042073,270210
480270202011073,270104
480270202023052,270311
480270203001035,270315
480270234023093,270107
480270234031006,270113
480270201001076,270301
480270218001070,270111
480270214001050,270105
480270234041004,270203
480270223004019,270204
480270234023073,270108
480270234021086,270312
480270233003029,270210
480270233001008,270402
480270234031064,270203
480270234031152,270108
480270204021039,270309
480270234023039,270108
480270202011040,270104
480270234023021,270108
480270220001048,270110
480270234034038,270203
480270202021034,270110
480270202021035,270110
480270208001000,270304
480270234041082,270107
480270234034015,270203
480270234024066,270108
480270201001134,270309
480270202023001,270311
480270234042083,270203
480270208001040,270304
480270202021144,270311
480270204011049,270303
480270202023087,270311
480270218001024,270111
480270201001032,270301
480270234023016,270108
480270202021050,270110
480270217001024,270101
480270201003044,270310
480270234042193,270203
480270234021069,270312
480270234042185,270203
480270234023014,270108
480270203001005,270302
480270234041005,270203
480270202021165,270311
480270202022072,270311
480270213031006,270308
480270234033007,270203
480270234042123,270203
480270234041026,270108
480270234032062,270203
480270231083001,270404A
480270214003000,270105
480270212031061,270102
480270214002011,270312
480270234023080,270108
480270218001084,270111
480270204021026,270304
480270214003021,270105
480270234033008,270203
480270215003095,270103
480279800031016,270110
480270214001068,270105
480270234033038,270203
480270234023002,270108
480270234024070,270108
480270234034041,270203
480270204021056,270303
480270219043075,270209
480270201001104,270309
480270232041002,270110
480270208001002,270304
480270234042126,270203
480270202021159,270311
480270202021028,270110
480270214002015,270312
480270201003058,270309
480279800031086,270110
480270234031080,270203
480270201001043,270301
480270234042192,270203
480270233003041,270210
480270215003024,270103
480270202012019,270110
480270234042087,270203
480270219043083,270209
480270234042053,270203
480270202021157,270311
480270234042042,270203
480270215003117,270103
480270233003045,270203
480270234042086,270210
480270204011032,270303
480279800031012,270110
480270217001014,270101
480270233001045,270402
480270226005025,270406
480270202023020,270311
480270204021007,270301
480270234041002,270203
480270234041077,270107
480270215003009,270103
480270225012013,270205
480270234041054,270203
480270201003002,270310
480270201001100,270301
480270202021021,270311
480270234031112,270113
480270214002026,270312
480270202023054,270311
480270234033036,270203
480270234023101,270107
480270202023049,270311
480270202021183,270110
480270214002013,270312
480270201003026,270309
480270201001132,270309
