GEOID,HISP,male,female,VAP,HVAP,NH_WHITEPOP,NH_BLACKPOP,NH_AMINPOP,NH_ASIANPOP,NH_HAWAIIANPOP,NH_OTHERPOP,NH_WVAP,NH_BVAP,NH_AMINVAP,NH_ASIANVAP,NH_HAWAIIANVAP,NH_OTHERVAP,TOTPOP
481130001002021,7,27.0,30.0,43.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,57
481130001002022,4,30.0,33.0,51.0,2.0,58.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,1.0,0.0,0.0,0.0,63
481130001002023,1,30.0,30.0,44.0,1.0,55.0,0.0,0.0,4.0,0.0,0.0,41.0,0.0,0.0,2.0,0.0,0.0,60
481130001002024,2,31.0,24.0,42.0,2.0,52.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,1.0,0.0,0.0,55
481130001002025,3,19.0,18.0,32.0,3.0,31.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,1.0,37
481130001002026,3,14.0,13.0,21.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,27
481130001002027,3,25.0,22.0,34.0,2.0,44.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,47
481130001002028,6,18.0,17.0,28.0,5.0,26.0,3.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,35
481130001002029,19,43.0,40.0,63.0,9.0,56.0,4.0,0.0,1.0,0.0,3.0,48.0,4.0,0.0,1.0,0.0,1.0,83
481130001002030,5,21.0,18.0,32.0,3.0,31.0,3.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,39
481130001003000,1,25.0,27.0,38.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,52
481130001003001,3,37.0,37.0,48.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,74
481130001003002,6,12.0,15.0,16.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,27
481130001003003,1,40.0,44.0,51.0,1.0,80.0,0.0,0.0,3.0,0.0,0.0,47.0,0.0,0.0,3.0,0.0,0.0,84
481130001003004,0,32.0,39.0,55.0,0.0,65.0,0.0,3.0,1.0,0.0,2.0,52.0,0.0,2.0,1.0,0.0,0.0,71
481130001003005,5,37.0,45.0,66.0,5.0,77.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,82
481130001003006,2,34.0,34.0,50.0,2.0,65.0,0.0,0.0,1.0,0.0,0.0,47.0,0.0,0.0,1.0,0.0,0.0,68
481130001003007,2,47.0,37.0,56.0,2.0,82.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,84
