GEOID10,precinct_assignment
480396641005017,390008
480396641005015,390008
480396642003040,390038
480396645011058,390033
480396621001103,390005
480396644002088,390033
480396642001405,390019
480396642001091,390008
480396641005108,390008
480396627002042,390014
480396617001058,390006
480396619001200,390021
480396625001048,390005
480396616013000,390025
480396617001386,390038
480396625001026,390031
480396641005102,390008
480396641005023,390008
480396617002259,390006
480396617001330,390038
480396641005084,390024
480396620004022,390010
480396617001308,390038
480396617001383,390038
480396636001004,390022
480396619001156,390021
480396642003144,390038
480396618002183,390057
480396619004014,390021
480396617001325,390038
480396642003141,390038
480396645011060,390033
480396641005169,390024
480396641005168,390024
480396641005032,390008
480396642001413,390019
480396617001007,390006
480396642002036,390008
480396624004000,390015
480396645013023,390033
480396645013035,390033
480396628005015,390014
480396645013084,390033
480396618001127,390011
480396617001342,390038
480396617001367,390038
480396625001132,390031
480396629001019,390004
480396642003151,390038
480396631004079,390030
480396642001252,390008
480396645015001,390033
480396640002009,390048
480396617002071,390006
480396643002082,390017
480396630004011,390004
480396645014005,390033
480396619003018,390009
480396642001398,390019
480396642002042,390008
480396631003001,390030
480396642001166,390019
480396644002018,390017
480396642002062,390008
480396642002121,390008
480396642001016,390008
480396642001076,390048
480396625001076,390031
480396640002021,390024
480396606022136,390050
480396616013003,390016
480396644002002,390017
480399900000002,390038
480396621002059,390055
480396618002113,390057
480396617001387,390038
480396631004004,390030
480396645013053,390033
480396617002340,390038
480396617001363,390038
480396617001398,390008
480396641005090,390008
480396642002139,390008
480396632003015,390045
480396641005005,390008
480396617001415,390038
480396617001282,390038
480396617001294,390038
480396621001002,390005
480396642002021,390008
480396621001006,390005
480396617001412,390038
480396645013047,390033
480396641005131,390008
480396619001124,390021
480396642001008,390008
480396619003013,390009
480396636001005,390022
480396630003010,390004
480396642001075,390008
480396640003001,390048
480396642001205,390008
480396644002138,390017
480396617001407,390038
480396641005054,390024
480396644002188,390017
480396642001164,390019
480396640002007,390024
480396617001418,390038
480396631004078,390030
480396618002095,390011
480396606013025,390029
480396645014004,390033
480396641005120,390008
480396642001121,390008
480396642001122,390008
480396642002140,390008
480396642003079,390038
480396619001197,390021
480396617001297,390038
480396643005006,390007
480396642001404,390008
480396639001003,390019
480396630003057,390004
480396642001071,390008
480396607022114,390040
480396645013077,390033
480396644002210,390017
480396617001028,390038
480396641005057,390024
480396638002007,390048
480396617001314,390038
480396643002051,390007
480396642002188,390008
480396617002103,390006
480396627001038,390014
480396644002004,390017
480396645013007,390033
480396642002077,390008
480396644002142,390017
480396641005125,390008
480396617002322,390038
480396631004026,390030
480396641005146,390008
480396638001010,390019
480396642001206,390008
480396641005080,390024
480396644002085,390017
480396645012000,390020
480396645013088,390033
480396644002114,390017
480396640002028,390048
480396644002001,390017
480396642001082,390008
480396642001213,390008
480396642003045,390038
480396616012044,390025
480396631002007,390031
480396625001136,390030
480396620004006,390010
480396621001044,390005
