,CNTYVTD,18R_Governor_D_tot,ValdezD_18R_Governor_pct,WhiteD_18R_Governor_pct,WVAP_pct,HVAP_pct,BVAP_pct,non_WVAP_pct,non_HVAP_pct,non_BVAP_pct
0,10001,14,0.5714285714285714,0.42857142857142855,0.7163605296881674,0.09269542930371637,0.15719777872703972,0.28363947031183256,0.9073045706962837,0.8428022212729602
1,10002,11,0.6363636363636364,0.36363636363636365,0.8656661786237189,0.049414348462664716,0.06881405563689605,0.13433382137628114,0.9505856515373353,0.931185944363104
2,10003,7,0.5714285714285714,0.42857142857142855,0.8431226765799257,0.07137546468401487,0.06840148698884758,0.15687732342007432,0.9286245353159851,0.9315985130111524
3,10004,8,0.75,0.25,0.922209026128266,0.027909738717339667,0.030878859857482184,0.07779097387173395,0.9720902612826603,0.9691211401425178
4,10005,1,1.0,0.0,0.953551912568306,0.03278688524590164,0.00819672131147541,0.04644808743169404,0.9672131147540983,0.9918032786885246
5,10006,21,0.6190476190476191,0.38095238095238093,0.383989145183175,0.1621438263229308,0.4335142469470828,0.616010854816825,0.8378561736770692,0.5664857530529173
6,10007,18,0.6111111111111112,0.3888888888888889,0.204653371320038,0.3570750237416904,0.4211775878442545,0.795346628679962,0.6429249762583096,0.5788224121557455
7,10008,4,0.75,0.25,0.3406060606060606,0.23030303030303031,0.41333333333333333,0.6593939393939394,0.7696969696969697,0.5866666666666667
8,10009,27,0.5185185185185185,0.48148148148148145,0.8311444652908068,0.06504065040650407,0.0825515947467167,0.16885553470919323,0.9349593495934959,0.9174484052532833
9,10010,9,0.5555555555555556,0.4444444444444444,0.3859927797833935,0.22700361010830325,0.38137184115523465,0.6140072202166065,0.7729963898916967,0.6186281588447653
10,10011,18,0.5555555555555556,0.4444444444444444,0.38586645286908716,0.20822357118314053,0.3989233764746306,0.6141335471309128,0.7917764288168595,0.6010766235253694
11,10013,13,0.5384615384615384,0.46153846153846156,0.7440870387890255,0.1130558183538316,0.12630085146641437,0.2559129612109745,0.8869441816461684,0.8736991485335857
12,10015,10,0.5,0.5,0.8652263374485597,0.060699588477366256,0.044238683127572016,0.1347736625514403,0.9393004115226338,0.9557613168724279
13,10016,4,0.5,0.5,0.850422195416164,0.039806996381182146,0.1037394451145959,0.14957780458383596,0.9601930036188179,0.8962605548854041
14,10017,12,0.5,0.5,0.716024340770791,0.11561866125760649,0.15618661257606492,0.283975659229209,0.8843813387423936,0.8438133874239351
15,10018,12,0.5,0.5,0.8419023136246787,0.04027420736932305,0.09811482433590403,0.1580976863753213,0.9597257926306769,0.901885175664096
16,10019,22,0.5909090909090909,0.4090909090909091,0.74453125,0.118359375,0.116796875,0.25546875,0.881640625,0.883203125
17,10020,10,0.5,0.5,0.6391333784698714,0.22748815165876776,0.11238997968855789,0.3608666215301286,0.7725118483412322,0.8876100203114421
18,10021,26,0.6538461538461539,0.34615384615384615,0.8142100617828774,0.09841129744042365,0.06663724624889673,0.18578993821712264,0.9015887025595763,0.9333627537511032
19,10022,9,0.5555555555555556,0.4444444444444444,0.8268359020852222,0.05439709882139619,0.10698096101541252,0.17316409791477783,0.9456029011786038,0.8930190389845875
20,10023,13,0.5384615384615384,0.46153846153846156,0.9102281089036056,0.03384841795437822,0.04562178072111847,0.08977189109639439,0.9661515820456218,0.9543782192788816
21,10024,0,0.0,0.0,0.9309941520467836,0.028070175438596492,0.025730994152046785,0.0690058479532164,0.9719298245614035,0.9742690058479532
22,30001,4,1.0,0.0,0.475258918296893,0.4963559647103951,0.00728807057920982,0.5247410817031071,0.5036440352896049,0.9927119294207902
23,30002,5,0.6,0.4,0.6868724432874674,0.2856080327259204,0.008181480104127928,0.31312755671253256,0.7143919672740796,0.9918185198958721
24,30003,2,1.0,0.0,0.5304314329738059,0.4264252696456086,0.022727272727272728,0.4695685670261941,0.5735747303543914,0.9772727272727273
25,30004,2,1.0,0.0,0.43764523625096824,0.5317583268783889,0.012780790085205267,0.5623547637490318,0.46824167312161113,0.9872192099147947
26,50001,1,1.0,0.0,0.4412442396313364,0.38940092165898615,0.15552995391705068,0.5587557603686636,0.6105990783410138,0.8444700460829493
27,50002,50,0.64,0.36,0.26562123039806995,0.2882991556091677,0.4316043425814234,0.73437876960193,0.7117008443908324,0.5683956574185767
28,50003,7,0.2857142857142857,0.7142857142857143,0.7908217716115261,0.15474919957310565,0.039843472073995016,0.20917822838847389,0.8452508004268944,0.960156527926005
29,50004,8,0.375,0.625,0.4764705882352941,0.19663865546218487,0.3067226890756303,0.5235294117647059,0.8033613445378152,0.6932773109243697
30,50005,24,0.4583333333333333,0.5416666666666666,0.5310211946050096,0.21734104046242775,0.22003853564547207,0.4689788053949904,0.7826589595375723,0.779961464354528
31,50006,0,0.0,0.0,0.8063112078346029,0.15560391730141457,0.025027203482045703,0.19368879216539714,0.8443960826985855,0.9749727965179543
32,50007,4,0.0,1.0,0.9074626865671642,0.0736318407960199,0.006965174129353234,0.09253731343283578,0.9263681592039801,0.9930348258706467
33,50008A,6,0.3333333333333333,0.6666666666666666,0.93766696349065,0.04630454140694568,0.0017809439002671415,0.06233303650934996,0.9536954585930543,0.9982190560997328
34,50008B,6,0.5,0.5,0.8950201884253028,0.06460296096904442,0.020188425302826378,0.10497981157469716,0.9353970390309556,0.9798115746971736
35,50009,5,0.0,1.0,0.8872549019607843,0.0196078431372549,0.08333333333333333,0.11274509803921573,0.9803921568627451,0.9166666666666666
36,50010A,19,0.2631578947368421,0.7368421052631579,0.502835538752363,0.2123503465658475,0.2684310018903592,0.497164461247637,0.7876496534341525,0.7315689981096408
37,50010B,1,0.0,1.0,0.19801980198019803,0.3217821782178218,0.4603960396039604,0.801980198019802,0.6782178217821782,0.5396039603960396
38,50011,6,0.16666666666666666,0.8333333333333334,0.9297272306981045,0.042071197411003236,0.019879796578825704,0.07027276930189552,0.9579288025889967,0.9801202034211743
39,50012,0,0.0,0.0,0.8521665250637214,0.09855564995751911,0.04333050127442651,0.14783347493627863,0.9014443500424809,0.9566694987255735
40,50013,15,0.7333333333333333,0.26666666666666666,0.5711009174311926,0.21788990825688073,0.1938073394495413,0.4288990825688074,0.7821100917431193,0.8061926605504587
