GEOID10,precinct_assignment
481677240001060,1670105
481677219001117,1670172
481677261001036,1670221
481677261001179,1670275
481677226001020,1670336
481677240001056,1670105
481677241011003,1671051
481677236003042,1670226
481677236003026,1670226
481677238001059,1670225
481677211003001,1670144
481677212021033,1670165
481677239001021,1670103
481677233003037,1670228
481677205022040,1670487
481677262001268,1670345
481677236002091,1670334
481677219001000,1670151
481677236003074,1670226
481677238002087,1670226
481677217006081,1670151
481677212021032,1670165
481677233001045,1670227
481677235023017,1670278
481677235024030,1670278
481677219001119,1670172
481677208002027,1670389
481677236003043,1670226
481677239001023,1670103
481677258003037,1670223
481677236002092,1670334
481677214003031,1670152
481677262001346,1670345
481677219002002,1670151
481677209003028,1670439
481677239004036,1670104
481677226001005,1670336
481677239004031,1670104
481677215003024,1670167
481677206002113,1670283
481677260002033,1670221
481677261001006,1670221
481677240001036,1670105
481677236003039,1670226
481677236002094,1670226
481677239004040,1670104
481677261002005,1670221
481677233001031,1670227
481677233001034,1670226
481677240001007,1670105
481677238001056,1670225
481677234003013,1670228
481677239003036,1670104
481677209002001,1670439
481677211004054,1670197
481677239002125,1670104
481677239004146,1670104
481677209004005,1670439
481677260002011,1670226
481677219001107,1670172
481677210001032,1670341
481677258001007,1670223
481677212012047,1670453
481677260002000,1670225
481677211004051,1670197
481677215003000,1670167
481677220011009,1670146
481677236003021,1670277
481677239004161,1670104
481677206001042,1670482
481677238002060,1670225
481677239004017,1670103
481677239004156,1670104
481677219001099,1670169
481677239004065,1670168
481677234004036,1670279
481677215002039,1670166
481677239002000,1670103
481677239004072,1670151
481677239004048,1670104
481677206002049,1670283
481677235022026,1670278
481677236003054,1670226
481677236003055,1670226
481677233002003,1670228
481677234003056,1670279
481679900000003,1670103
481677234003046,1670228
481679900000028,1670221
481677233003033,1670283
481677236003080,1670226
481677238001022,1672321
481677260001020,1670276
481677239004084,1670103
481677234004028,1670279
481677219001101,1670151
481677236003023,1670277
481677236003047,1670226
481677239001013,1670103
481677239001015,1670103
481677209002003,1670439
481677233003014,1670280
481677234004006,1670279
481677237001070,1670225
481677239004038,1670104
481677215001026,1670167
481677236003041,1670226
481677234003038,1670228
481677239004097,1670103
481677231001003,1670338
481677261002009,1670221
481677261001099,1670221
481677235022058,1670258
481677235022051,1670258
481677261002120,1670221
481677220012011,1670150
481677239004210,1670172
481677240002102,1670309
481677239004151,1670104
481677239001054,1670103
481677237001016,1670334
481677239004134,1670104
481677238002040,1670225
481677239004054,1670104
481677236002003,1670225
481677236002089,1670225
481677214002006,1670167
481679900000006,1670103
481677239004098,1670103
481677226001022,1670336
481677219002034,1670347
481677239004012,1670103
481677260002012,1670226
481677239004105,1670103
481677206002112,1670283
481677260002045,1670221
481677238001109,1670225
481677206001070,1670220
481677239004173,1670168
481677239004180,1670168
481677240002095,1670309
481677261001024,1670221
481677262001445,1670345
481677239004050,1670104
481677240001044,1670105
481677236003094,1670226
481677214002029,1670152
481677261002043,1670221
481677231002012,1670338
481677235024004,1670277
481677240001068,1670311
481677260002018,1670221
481677240001066,1670311
481677238002042,1670225
481677220012000,1670146
481677239004136,1670104
481677240001129,1670105
481677241011022,1670306
481677239004045,1670104
481677239004165,1670104
481677260002036,1670221
481677211004025,1670197
481677207003008,1670454
481677239004013,1670103
481677234004000,1670279
481677234004005,1670279
481677239001016,1670103
481677236001023,1670226
481677219001095,1670172
481677260002041,1670221
481677215002042,1670166
481677260002017,1670221
481677259001005,1670276
481677205022046,1670487
481677215004049,1670166
481677236003024,1670277
481677261001134,1670274
481677239004044,1670104
481677239004023,1670103
481677239002175,1670104
481677260002048,1670221
481677261002006,1670221
481677241011010,1670306
481677236001058,1670226
481677235024032,1670278
481677239004171,1670168
481677206001066,1670220
481677219001011,1670144
481677241012030,1670306
481677208002028,1670389
481677260001016,1670276
481677233001002,1670227
481677240001000,1670105
481677239004211,1670146
481679900000008,1670103
481677237001025,1670334
481677261002030,1670221
481677237001006,1670225
481677238001112,1670225
481677215003001,1670167
481677235024015,1670258
481677240001052,1670105
481677212014010,1670490
481677236002000,1670225
481677235022009,1670258
481677206001039,1670482
481677236002090,1670225
481677215004051,1670166
481677261002004,1670221
481677219001113,1670169
481677239004039,1670104
481677213004008,1670167
481677238001058,1670225
481677240001023,1670105
481677239004057,1670104
481677236003087,1670225
481677239004066,1670168
481677235024042,1670258
481677240001005,1670105
481677235024023,1670278
481677214002019,1670152
481677260001036,1670276
481677209002021,1670439
481677214002021,1670152
481677214002028,1670152
481677219003003,1670347
481677206001043,1670482
481677236003077,1670225
481677235012007,1670277
481677239004011,1670103
481677261001013,1670275
481677236003088,1670225
481677258003038,1670223
481677236003073,1670226
481677239004133,1670104
481677260002016,1670225
481677232001012,1670219
481677213003013,1670453
481677239004183,1670168
