ratio,var,type,eps
5.215900192226749,358648.8467904157,eq,0.25
5.5906998101545415,384420.3235812522,eq,0.25
8.585384383564655,590336.8728195268,eq,0.25
5.929426529406655,407711.4033104845,eq,0.25
6.78149100234653,466299.9363246693,eq,0.25
6.184492704122003,425249.92706391704,eq,0.25
6.918444824128842,475716.97431150946,eq,0.25
5.828989599985641,400805.29169322236,eq,0.25
7.60298423986178,522786.3703864354,eq,0.25
4.721209203330092,324633.5577421694,eq,0.25
7.708790609628582,530061.6883759354,eq,0.25
5.409339720293759,371949.88038156985,eq,0.25
5.934877210781289,408086.1958711527,eq,0.25
6.740823981215982,463503.6442766334,eq,0.25
6.5309642569541255,449073.54682069697,eq,0.25
5.651408180976057,388594.6724727647,eq,0.25
6.5134873924904175,447871.8257266541,eq,0.25
3.764968717277094,258881.81117149704,eq,0.25
6.193998551888307,425903.55562533607,eq,0.25
3.145528414505295,216288.6744056328,eq,0.25
7.3725667640295205,506942.7079423658,eq,0.25
5.711639116190433,392736.19256702135,eq,0.25
4.53115666481759,311565.4158577288,eq,0.25
6.707252774437014,461195.26525232167,eq,0.25
4.471336766419341,307452.1589346717,eq,0.25
6.4754790120778,445258.343623666,eq,0.25
5.278600195831092,362960.14170743985,eq,0.25
5.328109892989665,366364.4621768629,eq,0.25
8.179125002941108,562402.2013364399,eq,0.25
7.535738973440535,518162.5401049365,eq,0.25
6.783273067878438,466422.4723633911,eq,0.25
5.68781520958474,391098.0445359474,eq,0.25
5.693895988490988,391516.16303168924,eq,0.25
5.633031559318533,387331.0834617638,eq,0.25
7.299598402674317,501925.3537584741,eq,0.25
5.688463203574279,391142.601043647,eq,0.25
6.005856063044876,412966.7500559856,eq,0.25
6.856142345680178,471433.0134947173,eq,0.25
5.24446996506923,360613.32381363225,eq,0.25
7.424405622955065,510507.18315994856,eq,0.25
5.060099888089902,347935.9118512943,eq,0.25
8.738529354894972,600867.2252678394,eq,0.25
6.002043138840552,412704.57079288963,eq,0.25
5.3206580897226425,365852.07111305196,eq,0.25
6.117319507915746,420631.0523794467,eq,0.25
5.7072598675693,392435.0724516252,eq,0.25
8.06171627761795,554329.097483142,eq,0.25
7.0090370884639395,481946.160057881,eq,0.25
6.156569385355964,423329.90066292766,eq,0.25
10.847340171725028,745870.4921406222,eq,0.25
6.492225980586954,446409.8765751582,eq,0.25
5.292363153291046,363906.4920284821,eq,0.25
6.372398335307452,438170.4461395161,eq,0.25
5.228709417467388,359529.6178350151,eq,0.25
6.436174063561665,442555.70861552743,eq,0.25
6.749346831127335,464089.6812365871,eq,0.25
6.045406006684064,415686.2310955116,eq,0.25
5.74534835146153,395054.06252438424,eq,0.25
9.991971612028502,687054.7678725222,eq,0.25
7.784282197644895,535252.5413421746,eq,0.25
6.726677298699861,462530.908759593,eq,0.25
6.98634996227622,480386.17782195925,eq,0.25
4.551007210651904,312930.3528981743,eq,0.25
3.4690763348446834,238536.04959200873,eq,0.25
7.827824814552568,538246.5613127728,eq,0.25
7.085252503690119,487186.7838756562,eq,0.25
5.870670106639087,403671.27169551933,eq,0.25
7.235538508470435,497520.5518383803,eq,0.25
5.525250450204419,379919.9810508747,eq,0.25
6.1770963720268135,424741.3502356311,eq,0.25
6.8469731496203465,470802.5333337367,eq,0.25
8.056706119810508,553984.5956227431,eq,0.25
7.568632807900953,520424.342547653,eq,0.25
4.744474058552934,326233.2650197077,eq,0.25
7.979825334900879,548698.2205327303,eq,0.25
5.368277971476069,369126.4465891424,eq,0.25
5.2984283676324235,364323.5402941513,eq,0.25
6.085324496153,418431.05359709734,eq,0.25
4.2144097983800455,289785.68576596014,eq,0.25
7.813870063314588,537287.0231210322,eq,0.25
4.658459360051799,320318.83581524703,eq,0.25
4.178539878774388,287319.24568334385,eq,0.25
6.755796999217832,464533.19918401807,eq,0.25
6.521367145812144,448413.64292745903,eq,0.25
5.945780782402397,408835.9328760201,eq,0.25
5.416121565527845,372416.20467511006,eq,0.25
5.624281549710137,386729.42684645264,eq,0.25
8.663832278190938,595731.0034401207,eq,0.25
5.579258631563447,383633.62035527127,eq,0.25
9.531440961114418,655388.3669110686,eq,0.25
8.128226918499998,558902.4144126314,eq,0.25
7.3243087436805325,503624.4536221726,eq,0.25
7.718681126553586,530741.7670504852,eq,0.25
7.3029169786780965,502153.54130288225,eq,0.25
9.871350100521731,678760.750654844,eq,0.25
6.197597595136803,426151.028288357,eq,0.25
4.422630113889906,304103.05636044365,eq,0.25
7.400882101661939,508889.68982738775,eq,0.25
5.957062524480135,409611.6731388414,eq,0.25
8.425196396595686,579322.2378229218,eq,0.25
6.671484714023694,458735.82907708874,eq,0.25
8.874006697998121,610182.7395759134,eq,0.25
6.08630474919177,418498.45646313403,eq,0.25
5.104011081793853,350955.27541323187,eq,0.25
