variance,split,multi_attr,eps,ratio
7549.3111572265625,equal,True,1,3.0134538156964537
6188.165954589844,equal,True,1,2.470126335986447
9873.158935546875,equal,True,1,3.941062680774647
5610.701171875,equal,True,1,2.2396200796326338
9087.427124023438,equal,True,1,3.6274226047151443
19247.969299316406,equal,True,1,7.683199873661334
10149.131103515625,equal,True,1,4.0512223185576755
8101.761901855469,equal,True,1,3.2339752341033123
12239.114624023438,equal,True,1,4.88547973402904
4882.6453857421875,equal,True,1,1.9490025065760985
7990.069885253906,equal,True,1,3.189391201653064
6797.371276855469,equal,True,1,2.713302443672326
8666.992370605469,equal,True,1,3.4595979269992205
7210.176330566406,equal,True,1,2.8780815789253773
10076.1435546875,equal,True,1,4.022087924315109
7411.692443847656,equal,True,1,2.9585206398998882
11440.713317871094,equal,True,1,4.566782383717983
12340.280822753906,equal,True,1,4.925862182339177
8350.592590332031,equal,True,1,3.333300824483077
4640.650451660156,equal,True,1,1.8524055400050963
12665.223327636719,equal,True,1,5.055569278897747
10078.627685546875,equal,True,1,4.0230795132774615
5246.7874755859375,equal,True,1,2.094356876960596
7732.859130859375,equal,True,1,3.086720545599047
10760.002319335938,equal,True,1,4.2950633999324594
10848.233215332031,equal,True,1,4.330282471535733
7202.98291015625,equal,True,1,2.8752101857967283
7897.778381347656,equal,True,1,3.152551259728505
8350.099182128906,equal,True,1,3.333103871039056
10551.651428222656,equal,True,1,4.21189610496303
8494.827697753906,equal,True,1,3.39087506215399
9774.272033691406,equal,True,1,3.9015900579733582
9237.076293945312,equal,True,1,3.687157970329953
6622.586181640625,equal,True,1,2.6435335864703218
9555.7158203125,equal,True,1,3.814349110894315
6230.954528808594,equal,True,1,2.4872062244110054
9129.779968261719,equal,True,1,3.644328563075766
7953.63916015625,equal,True,1,3.174849171888
9492.540222167969,equal,True,1,3.789131346872851
7933.805236816406,equal,True,1,3.16693207710625
8509.091735839844,equal,True,1,3.3965688293205694
14991.557250976562,equal,True,1,5.984170536929343
5619.2342529296875,equal,True,1,2.2430262242633634
12073.601318359375,equal,True,1,4.819411891266399
10165.986083984375,equal,True,1,4.057950310575652
9556.850463867188,equal,True,1,3.8148020258527953
9394.608093261719,equal,True,1,3.7500398401928914
9253.271240234375,equal,True,1,3.693622496916999
10670.348205566406,equal,True,1,4.2592762233801915
17111.12078857422,equal,True,1,6.830235389332544
11738.370971679688,equal,True,1,4.685598203328508
7723.916748046875,equal,True,1,3.083151020241498
8334.331298828125,equal,True,1,3.326809814918093
10452.779357910156,equal,True,1,4.172429402459477
14854.843322753906,equal,True,1,5.929598523658034
6986.352783203125,equal,True,1,2.7887380734323033
9060.667907714844,equal,True,1,3.6167411450679303
7964.643249511719,equal,True,1,3.179241667357571
